step     Mol_ID1     Mol_ID2     Mol_ID3     Mol_ID4     Mol_ID5     Mol_ID6     Mol_ID7     Mol_ID8     Mol_ID9     Mol_ID10     
0      100.489122     268.822684     163.035637     194.265882     430.151257     204.816397     108.617780     132.065655     166.693041     154.184505     
1      101.663222     267.985577     162.017620     192.904345     431.775131     202.474969     110.556354     133.783913     168.898182     154.459580     
2      104.037338     267.520855     162.390762     191.965632     433.751882     200.068908     113.402827     135.403239     169.615208     154.755974     
3      107.267970     268.113883     163.380518     191.708327     435.233091     200.045274     115.529229     138.186171     169.655012     156.587338     
4      110.704389     270.597392     164.487847     190.599576     437.698591     201.796017     117.527893     141.058996     170.753657     157.859748     
5      111.821517     273.611909     163.663651     188.002823     440.709342     202.229121     118.122766     142.085736     173.547485     157.653903     
6      112.351151     276.288212     161.866533     185.606579     443.296325     203.043065     118.193087     142.058443     175.050978     157.900704     
7      113.201031     277.883015     160.537056     183.034859     445.450151     204.213283     116.852338     141.223060     176.535338     159.042492     
8      114.114530     281.106087     162.752929     181.702863     447.632645     207.175099     115.065580     141.134480     176.755847     161.380574     
9      114.638239     281.410834     166.549541     180.117326     448.116506     209.528300     114.770408     140.881828     177.069019     163.100196     
10      114.504044     280.505404     168.206048     179.823095     448.358927     209.538615     112.876684     141.122546     176.945597     162.742534     
11      114.741171     280.586011     168.151588     180.325269     448.488257     208.636998     111.572270     140.487288     176.592811     162.331817     
12      114.849408     281.528940     168.017945     181.868947     446.593072     209.084508     110.590219     140.969988     174.966149     162.532575     
13      112.715319     280.860078     168.428277     180.966899     443.152607     209.708648     110.535786     141.573043     173.959348     161.406926     
14      109.977089     280.342862     167.783319     179.682260     439.677978     208.492418     110.051359     143.298518     174.202763     159.709453     
15      107.893743     279.177269     168.177173     179.223411     435.279330     206.545433     110.705312     143.580137     173.969329     159.696720     
16      106.709411     276.140964     170.447249     177.092276     431.158182     204.418768     112.275852     142.901921     174.235632     160.469667     
17      107.151460     274.777041     174.829225     174.733867     428.370151     203.782679     113.004713     142.254522     175.046013     160.663230     
18      108.142810     274.173744     176.886811     173.826563     426.647051     204.177476     114.464024     140.537246     176.056220     159.531933     
19      109.142324     272.436608     177.951907     172.697058     425.618435     204.723086     114.932773     137.598068     176.754907     157.757653     
20      109.540819     267.548376     178.777332     171.018604     423.767627     204.690412     115.329647     135.087513     176.534457     157.044778     
21      109.643951     263.343884     178.045015     171.062397     422.616135     204.894925     117.617118     134.926622     178.302328     156.809252     
22      108.748146     261.030189     178.725635     171.809365     422.166561     206.733285     121.244854     136.164884     180.286094     157.268467     
23      108.046280     258.113869     178.569076     172.859366     421.289177     209.660264     122.772458     136.830456     180.669056     158.065384     
24      107.034272     256.862725     177.260814     171.917635     417.274862     213.489387     122.125053     136.890253     180.399487     159.389769     
25      107.022904     256.843193     175.523892     170.767900     415.305836     216.428427     122.143001     136.337095     180.405049     160.840756     
26      106.370302     256.754094     174.546099     169.884748     413.465447     218.108194     120.816004     137.372645     180.176404     160.902086     
27      105.152092     259.576902     172.138543     170.432965     412.746420     219.588478     119.287912     139.726493     178.868063     160.238931     
28      104.311582     261.183566     170.110831     169.083496     412.765807     219.859342     119.706294     141.946005     177.646632     160.053451     
29      105.273836     261.411099     168.654034     169.789916     410.794389     220.085969     121.093303     142.166312     177.794589     160.489572     
30      106.688165     262.839334     168.154023     173.270456     409.477522     220.392475     121.292938     141.554041     177.881106     162.249162     
31      107.448862     263.451872     166.793069     175.323818     409.470486     220.387535     122.000885     139.728421     177.675927     162.843926     
32      107.448991     261.919575     164.057681     176.389366     410.204308     220.063921     123.041241     137.881080     177.808557     162.979035     
33      106.981718     260.147872     162.312042     176.662129     412.271982     218.858652     123.880902     137.946407     176.347704     164.789371     
34      106.574447     259.288222     160.048583     175.569566     415.108607     217.348380     125.021849     138.235222     174.017723     166.198624     
35      107.447991     260.532907     157.987251     174.570830     417.924265     214.929670     125.007639     138.239249     172.792725     167.119904     
36      107.706643     259.874657     156.429410     173.972786     417.956381     212.743849     123.368084     138.391825     172.293696     166.515509     
37      107.139634     258.891349     155.037210     173.704418     416.637746     211.278420     121.854832     137.968851     171.643859     166.458609     
38      106.247457     257.859305     155.442234     173.725613     414.301093     211.995798     121.372491     137.484724     170.723132     167.064555     
39      105.315894     258.714800     156.057474     173.660168     412.376805     212.575438     121.105298     137.035182     169.350321     166.531904     
40      104.138796     259.141279     157.152262     173.190734     415.090272     213.426977     121.292433     137.078122     169.491773     166.402962     
41      103.582041     259.565787     156.776770     172.575987     417.648551     214.374771     121.068360     137.059442     167.728002     166.532910     
42      104.060345     260.828627     157.286189     173.605921     420.270722     215.905254     120.089727     137.616262     166.655265     167.749265     
43      104.446855     259.800820     158.747278     175.316845     423.457869     218.437126     117.943342     139.009104     165.103214     168.869436     
